,X_freq,X_amp,Y_freq,Y_amp,V_lpf2_freq,V_lpf2_amp
0,0.0,475014.1288202846,0.0,36123.085433533764,0.0,
1,0.2110565490847181,1158.9465658665144,0.2110565490847181,24203.649819046117,0.2110565490847181,
2,0.4221130981694362,505.5084349182641,0.4221130981694362,12385.047683927425,0.4221130981694362,
3,0.6331696472541544,424.6088336823564,0.6331696472541544,7745.111127662125,0.6331696472541544,
4,0.8442261963388724,265.6727171442928,0.8442261963388724,6103.402258529214,0.8442261963388724,
5,1.0552827454235905,256.5766262616185,1.0552827454235905,4820.211745558589,1.0552827454235905,
6,1.2663392945083087,173.24153494641783,1.2663392945083087,4045.257941923248,1.2663392945083087,
7,1.4773958435930268,131.33899364370905,1.4773958435930268,3378.8812355805535,1.4773958435930268,
8,1.6884523926777448,136.12247337723286,1.6884523926777448,3043.159747415849,1.6884523926777448,
9,1.8995089417624629,114.05520457607867,1.8995089417624629,2650.410048651898,1.8995089417624629,
10,2.110565490847181,117.94824780321298,2.110565490847181,2383.6652665091538,2.110565490847181,
11,2.321622039931899,115.93914760548058,2.321622039931899,2210.278687268471,2.321622039931899,
12,2.5326785890166175,95.31977818221155,2.5326785890166175,1993.2655026338368,2.5326785890166175,
13,2.7437351381013353,84.85690833808876,2.7437351381013353,1872.7377354328155,2.7437351381013353,
14,2.9547916871860536,95.36807483780437,2.9547916871860536,1742.650238871443,2.9547916871860536,
15,3.1658482362707714,87.73117437222683,3.1658482362707714,1642.4700541485117,3.1658482362707714,
16,3.3769047853554897,76.9223511818027,3.3769047853554897,1560.0044578155205,3.3769047853554897,
17,3.587961334440208,75.26009902966389,3.587961334440208,1426.4737738462882,3.587961334440208,
18,3.7990178835249258,62.00588305567101,3.7990178835249258,1364.49315095335,3.7990178835249258,
19,4.010074432609644,54.59568222631177,4.010074432609644,1321.313325665725,4.010074432609644,
20,4.221130981694362,68.39272667268173,4.221130981694362,1209.0805094442205,4.221130981694362,
21,4.43218753077908,39.51031657566968,4.43218753077908,1157.5233156172917,4.43218753077908,
22,4.643244079863798,33.52106657549778,4.643244079863798,1078.3966258419193,4.643244079863798,
23,4.854300628948517,50.27729556346817,4.854300628948517,1069.8573127074305,4.854300628948517,
24,5.065357178033235,32.35424359358611,5.065357178033235,1078.7239912809769,5.065357178033235,
25,5.276413727117952,75.32393735328937,5.276413727117952,1033.2256893623353,5.276413727117952,
26,5.487470276202671,37.48231835269611,5.487470276202671,1134.8589254325334,5.487470276202671,
27,5.698526825287389,29.349121291100406,5.698526825287389,918.847200539251,5.698526825287389,
28,5.909583374372107,12.606867264564936,5.909583374372107,939.4428098440603,5.909583374372107,
29,6.120639923456825,7.244614723093863,6.120639923456825,830.2625189358708,6.120639923456825,
30,6.331696472541543,7.000774913919571,6.331696472541543,831.1302803798566,6.331696472541543,
31,6.542753021626261,30.512752533598903,6.542753021626261,858.6806913621333,6.542753021626261,
32,6.753809570710979,37.866007199907045,6.753809570710979,842.9040792379639,6.753809570710979,
33,6.964866119795698,31.411069198233598,6.964866119795698,818.4573628654808,6.964866119795698,
34,7.175922668880416,24.558418746226796,7.175922668880416,772.1765443090575,7.175922668880416,
35,7.386979217965133,32.739655394218246,7.386979217965133,766.1406802780655,7.386979217965133,
36,7.5980357670498515,34.39110837779472,7.5980357670498515,728.2646522366033,7.5980357670498515,
37,7.80909231613457,33.62880347543245,7.80909231613457,717.1873660263105,7.80909231613457,
38,8.020148865219287,34.079268429083854,8.020148865219287,710.7993527711418,8.020148865219287,
39,8.231205414304005,32.733637856201454,8.231205414304005,694.5600101036307,8.231205414304005,
40,8.442261963388724,32.926576159340684,8.442261963388724,683.0305015209165,8.442261963388724,
41,8.653318512473442,30.903584184468475,8.653318512473442,667.3059142175454,8.653318512473442,
42,8.86437506155816,29.704929924221272,8.86437506155816,657.5735985904033,8.86437506155816,
43,9.075431610642879,29.054219398932506,9.075431610642879,647.8537904302419,9.075431610642879,
44,9.286488159727597,28.345745789439068,9.286488159727597,637.9656600318633,9.286488159727597,
45,9.497544708812315,27.65488017408729,9.497544708812315,628.8562315678969,9.497544708812315,
46,9.708601257897033,27.042348416299642,9.708601257897033,620.2003825202496,9.708601257897033,
47,9.919657806981752,26.52668421153395,9.919657806981752,612.0551700827959,9.919657806981752,
48,10.13071435606647,26.026854585154265,10.13071435606647,604.4188135357473,10.13071435606647,
49,10.341770905151186,25.59002911845729,10.341770905151186,597.249210345344,10.341770905151186,
50,10.552827454235905,25.197345938444073,10.552827454235905,590.51892444578,10.552827454235905,
51,10.763884003320623,24.835501553256677,10.763884003320623,584.2202845286932,10.763884003320623,
52,10.974940552405341,24.507323443085564,10.974940552405341,578.3353944103432,10.974940552405341,
53,11.18599710149006,24.204753254811003,11.18599710149006,572.8386960242401,11.18599710149006,
54,11.397053650574778,23.92772864531936,11.397053650574778,567.7185676287314,11.397053650574778,
55,11.608110199659496,23.674021202576146,11.608110199659496,562.960137797602,11.608110199659496,
56,11.819166748744214,23.44175188999864,11.819166748744214,558.5497002950534,11.819166748744214,
57,12.030223297828933,23.22952554569759,12.030223297828933,554.4752735600086,12.030223297828933,
58,12.24127984691365,23.036095847744427,12.24127984691365,550.725815929137,12.24127984691365,
59,12.452336395998367,22.86040907005478,12.452336395998367,547.2913183305883,12.452336395998367,
60,12.663392945083086,22.701555270699856,12.663392945083086,544.1627372609709,12.663392945083086,
61,12.874449494167804,22.558754803739678,12.874449494167804,541.3319412895632,12.874449494167804,
62,13.085506043252522,22.43133621231215,13.085506043252522,538.7916574884551,13.085506043252522,
63,13.29656259233724,22.31872342670943,13.29656259233724,536.5354292126895,13.29656259233724,
64,13.507619141421959,22.220424245402693,13.507619141421959,534.5575771944676,13.507619141421959,
65,13.718675690506677,22.136021481283503,13.718675690506677,532.853165784183,13.718675690506677,
66,13.929732239591395,22.065165845868034,13.929732239591395,531.4179739207214,13.929732239591395,
67,14.140788788676113,22.007570268879018,14.140788788676113,530.2484704355921,14.140788788676113,
68,14.351845337760832,21.96300543099172,14.351845337760832,529.3417935311954,14.351845337760832,
69,14.56290188684555,21.931296319982334,14.56290188684555,528.695734237625,14.56290188684555,
70,14.773958435930266,21.912319676294473,14.773958435930266,528.3087237004044,14.773958435930266,
